XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,9,533664.666667,0.399032,1,0.256175,3,0.065699
AK,1,721523.000000,2,360761.500000,0.466937,0,0.466937,1,0.033063
AZ,9,712522.222222,12,534391.666667,0.508544,5,0.047012,6,0.008544
AR,4,731557.250000,6,487704.833333,0.360027,0,0.360027,2,0.026694
CA,53,704565.830189,72,518638.736111,0.655605,46,0.212320,47,0.002827
CO,7,720704.285714,10,504493.000000,0.554363,4,0.017066,6,0.045637
CT,5,716325.600000,7,511661.142857,0.623673,5,0.376327,5,0.090612
DE,1,900877.000000,2,450438.500000,0.644540,1,0.355460,1,0.144540
FL,27,700028.629630,36,525021.472222,0.497928,13,0.016446,18,0.002072
GA,14,694826.142857,19,511977.157895,0.484372,5,0.127229,9,0.010688
HI,2,683431.000000,3,455620.666667,0.767239,2,0.232761,2,0.100572
ID,2,786749.500000,3,524499.666667,0.360341,0,0.360341,1,0.027008
IL,18,714687.777778,25,514575.200000,0.611158,13,0.111064,15,0.011158
IN,9,722398.000000,13,500121.692308,0.444870,2,0.222648,6,0.016669
IA,4,763446.750000,6,508964.500000,0.520492,3,0.229508,3,0.020492
KS,4,715953.250000,6,477302.166667,0.451921,1,0.201921,3,0.048079
KY,6,725101.000000,8,543825.750000,0.395908,1,0.229241,3,0.020908
LA,6,758993.666667,9,505995.777778,0.381632,1,0.214965,3,0.048298
ME,2,666537.000000,3,444358.000000,0.575907,2,0.424093,2,0.090760
MD,8,723741.125000,11,526357.181818,0.669242,7,0.205758,7,0.032878
MA,9,728849.333333,13,504588.000000,0.693134,9,0.306866,9,0.000827
MI,14,707973.285714,19,521664.526316,0.537064,7,0.037064,10,0.010748
MN,8,664359.875000,10,531487.900000,0.555195,5,0.069805,6,0.044805
MS,4,744560.000000,6,496373.333333,0.416765,1,0.166765,3,0.083235
MO,8,751434.750000,12,500956.500000,0.435775,2,0.185775,5,0.019108
MT,1,994416.000000,2,497208.000000,0.476143,0,0.476143,1,0.023857
NE,3,610608.333333,4,457956.250000,0.379708,0,0.379708,1,0.129708
NV,4,677358.000000,5,541886.400000,0.527683,3,0.222317,3,0.072317
NH,2,660722.500000,3,440481.666667,0.555563,2,0.444437,2,0.111104
NJ,12,733958.416667,17,518088.294118,0.607701,11,0.308966,11,0.039358
NM,3,689091.000000,4,516818.250000,0.604172,3,0.395828,3,0.145828
NY,27,719298.333333,37,524893.378378,0.656662,21,0.121116,24,0.008013
NC,13,735829.307692,18,531432.277778,0.505105,3,0.274336,8,0.060661
ND,1,675905.000000,2,337952.500000,0.339198,0,0.339198,1,0.160802
OH,16,723030.937500,22,525840.681818,0.476149,4,0.226149,10,0.021604
OK,5,752976.400000,7,537840.285714,0.369679,1,0.169679,3,0.058892
OR,5,769721.200000,7,549800.857143,0.601727,4,0.198273,4,0.030298
PA,18,707494.722222,24,530621.041667,0.539962,9,0.039962,13,0.001704
RI,2,527623.500000,3,351749.000000,0.651360,2,0.348640,2,0.015306
SC,7,663710.714286,9,516219.444444,0.449831,2,0.164116,4,0.005386
SD,1,819761.000000,2,409880.500000,0.373873,0,0.373873,1,0.126127
TN,9,708381.222222,12,531285.916667,0.398122,2,0.175900,5,0.018544
TX,36,701900.500000,49,515682.000000,0.470414,13,0.109303,23,0.001027
UT,4,692691.250000,5,554153.000000,0.377285,1,0.127285,2,0.022715
VT,1,630337.000000,2,315168.500000,0.727273,1,0.272727,1,0.227273
VA,11,730703.272727,15,535849.066667,0.554521,7,0.081843,8,0.021187
WA,10,675336.900000,13,519489.923077,0.599085,7,0.100915,8,0.016300
WV,3,619938.333333,4,464953.750000,0.410289,0,0.410289,1,0.160289
WI,8,712278.750000,11,518020.909091,0.524421,3,0.149421,6,0.021033
WY,1,568300.000000,2,284150.000000,0.318860,0,0.318860,1,0.181140
