Year,V_D_%,N_T,N_I,N_R,N_D,N_D_%,L_T,L_I,L_R,L_D,L_D_%,O_T,O_I,O_R,O_D,O_D_%
2000,0.5029334506495293,435,2,221,212,0.4896073903002309,216,0,101,115,0.5324074074074074,651,2,322,327,0.5038520801232665
2002,0.4827155982399601,435,1,229,205,0.47235023041474655,216,0,108,108,0.5,651,1,337,313,0.4815384615384615
2004,0.49192799518447666,435,1,233,201,0.4631336405529954,216,0,99,117,0.5416666666666666,651,1,332,318,0.48923076923076925
2006,0.5351859574093133,435,0,202,233,0.535632183908046,216,0,104,112,0.5185185185185185,651,0,306,345,0.5299539170506913
2008,0.5467612465706773,435,0,178,257,0.5908045977011495,216,0,118,98,0.4537037037037037,651,0,296,355,0.5453149001536098
2010,0.47229379948075323,435,0,242,193,0.4436781609195402,216,0,101,115,0.5324074074074074,651,0,343,308,0.4731182795698925
2012,0.5085044726164526,435,0,234,201,0.46206896551724136,216,0,83,133,0.6157407407407407,651,0,317,334,0.5130568356374808
2014,0.4743502577192964,435,0,247,188,0.432183908045977,216,0,96,120,0.5555555555555556,651,0,343,308,0.4731182795698925
2016,0.49532586719032035,435,0,241,194,0.4459770114942529,216,0,86,130,0.6018518518518519,651,0,327,324,0.4976958525345622
2018,0.5354025250769974,435,1,199,235,0.5414746543778802,216,0,101,115,0.5324074074074074,651,1,300,350,0.5384615384615384
2020,0.5107606054134247,435,0,213,222,0.5103448275862069,216,0,104,112,0.5185185185185185,651,0,317,334,0.5130568356374808
2022,0.4880992491207037,435,0,222,213,0.4896551724137931,216,0,111,105,0.4861111111111111,651,0,333,318,0.48847926267281105
