XX,n,POWER,n',POWER',v/t,s,SKEW,s',SKEW'
AL,7,686140.285714,9,533664.666667,0.395232,1,0.252375,3,0.061898
AK,1,721523.000000,2,360761.500000,0.309172,0,0.309172,1,0.190828
AZ,9,712522.222222,12,534391.666667,0.454311,5,0.101245,5,0.037644
AR,4,731557.250000,6,487704.833333,0.380395,0,0.380395,2,0.047061
CA,53,704565.830189,72,518638.736111,0.603455,38,0.113526,43,0.006233
CO,7,720704.285714,10,504493.000000,0.514459,3,0.085888,5,0.014459
CT,5,716325.600000,7,511661.142857,0.659759,5,0.340241,5,0.054527
DE,1,900877.000000,2,450438.500000,0.658255,1,0.341745,1,0.158255
FL,27,700028.629630,36,525021.472222,0.487838,10,0.117467,18,0.012162
GA,14,694826.142857,19,511977.157895,0.463130,5,0.105987,9,0.010554
HI,2,683431.000000,3,455620.666667,0.674513,2,0.325487,2,0.007846
ID,2,786749.500000,3,524499.666667,0.338633,0,0.338633,1,0.005300
IL,18,714687.777778,25,514575.200000,0.554113,12,0.112554,14,0.005887
IN,9,722398.000000,13,500121.692308,0.458063,2,0.235841,6,0.003475
IA,4,763446.750000,6,508964.500000,0.515305,2,0.015305,3,0.015305
KS,4,715953.250000,6,477302.166667,0.360249,0,0.360249,2,0.026916
KY,6,725101.000000,8,543825.750000,0.399891,1,0.233224,3,0.024891
LA,6,758993.666667,9,505995.777778,0.398770,1,0.232103,4,0.045675
ME,2,666537.000000,3,444358.000000,0.616631,2,0.383369,2,0.050036
MD,8,723741.125000,11,526357.181818,0.654604,7,0.220396,7,0.018240
MA,9,728849.333333,13,504588.000000,0.682322,9,0.317678,9,0.009985
MI,14,707973.285714,19,521664.526316,0.527315,5,0.170172,10,0.000999
MN,8,664359.875000,10,531487.900000,0.555940,5,0.069060,6,0.044060
MS,4,744560.000000,6,496373.333333,0.442612,1,0.192612,3,0.057388
MO,8,751434.750000,12,500956.500000,0.433408,2,0.183408,5,0.016742
MT,1,994416.000000,2,497208.000000,0.445126,0,0.445126,1,0.054874
NE,3,610608.333333,4,457956.250000,0.357584,0,0.357584,1,0.107584
NV,4,677358.000000,5,541886.400000,0.497843,2,0.002157,2,0.097843
NH,2,660722.500000,3,440481.666667,0.522442,2,0.477558,2,0.144225
NJ,12,733958.416667,17,518088.294118,0.556164,6,0.056164,9,0.026752
NM,3,689091.000000,4,516818.250000,0.551551,2,0.115116,2,0.051551
NY,27,719298.333333,37,524893.378378,0.650492,21,0.127285,24,0.001844
NC,13,735829.307692,18,531432.277778,0.509320,4,0.201628,9,0.009320
ND,1,675905.000000,2,337952.500000,0.431717,0,0.431717,1,0.068283
OH,16,723030.937500,22,525840.681818,0.486628,4,0.236628,10,0.032083
OK,5,752976.400000,7,537840.285714,0.323805,0,0.323805,2,0.038090
OR,5,769721.200000,7,549800.857143,0.574678,4,0.225322,4,0.003249
PA,18,707494.722222,24,530621.041667,0.507583,5,0.229805,11,0.049250
RI,2,527623.500000,3,351749.000000,0.589650,2,0.410350,2,0.077016
SC,7,663710.714286,9,516219.444444,0.435562,1,0.292705,3,0.102229
SD,1,819761.000000,2,409880.500000,0.425503,0,0.425503,1,0.074497
TN,9,708381.222222,12,531285.916667,0.389445,2,0.167222,5,0.027222
TX,36,701900.500000,49,515682.000000,0.419688,12,0.086354,21,0.008884
UT,4,692691.250000,5,554153.000000,0.333589,1,0.083589,2,0.066411
VT,1,630337.000000,2,315168.500000,0.755406,1,0.244594,2,0.244594
VA,11,730703.272727,15,535849.066667,0.490396,3,0.217669,7,0.023730
WA,10,675336.900000,13,519489.923077,0.544438,6,0.055562,7,0.005977
WV,3,619938.333333,4,464953.750000,0.400872,1,0.067539,2,0.099128
WI,8,712278.750000,11,518020.909091,0.507555,3,0.132555,6,0.037899
WY,1,568300.000000,2,284150.000000,0.256994,0,0.256994,1,0.243006
