HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,Vf,Sf,SKEW|D,SKEW|R,THRESHOLD,PARTY,GAP
436,645684,UT,4,0.438644,0.666667,0.311356,0.061356,0.333333,REP,-16
437,644329,NY,30,0.675795,0.896552,0.224205,0.190872,0.100000,REP,-15
438,643276,TX,33,0.500037,0.375000,0.106098,0.136401,0.100000,REP,-15
439,642646,MI,16,0.532219,0.533333,0.030281,0.032219,0.100000,REP,-14
440,642025,IN,10,0.528214,0.555556,0.071786,0.028214,0.111111,REP,-14
441,640155,MT,2,0.335767,0.000000,0.164233,0.335767,1.000000,REP,-13
442,638109,IL,20,0.607064,0.631579,0.042936,0.007064,0.100000,REP,-13
443,637934,MS,5,0.581197,0.750000,0.218803,0.018803,0.250000,REP,-12
444,634248,CA,54,0.612569,0.641509,0.035579,0.017061,0.100000,REP,-12
445,633003,WI,9,0.557904,0.625000,0.108762,0.002349,0.125000,REP,-11
446,631491,OK,6,0.385573,0.200000,0.052240,0.218906,0.200000,REP,-10
447,631011,PA,20,0.550101,0.631579,0.099899,0.049899,0.100000,REP,-10
448,628705,FL,26,0.486359,0.400000,0.063282,0.101744,0.100000,REP,-9
449,625963,OR,6,0.612458,0.800000,0.220875,0.054208,0.200000,REP,-9
450,625540,MD,9,0.687474,0.875000,0.201415,0.090304,0.125000,REP,-8
451,624841,KY,7,0.494405,0.333333,0.065833,0.208691,0.166667,REP,-8
452,624455,NJ,14,0.555075,0.615385,0.087783,0.016354,0.100000,REP,-7
453,624069,TX,34,0.500037,0.363636,0.117684,0.147096,0.100000,REP,-7
454,623198,NY,31,0.675795,0.866667,0.195173,0.162915,0.100000,REP,-6
455,622830,WA,10,0.591984,0.666667,0.108016,0.008016,0.111111,REP,-5
456,622610,CA,55,0.612569,0.629630,0.023795,0.005613,0.100000,REP,-5
457,622493,CT,6,0.642895,1.000000,0.357105,0.190439,0.200000,REP,-4
458,621080,SC,7,0.494575,0.333333,0.066003,0.208860,0.166667,REP,-4
459,618037,VA,12,0.509688,0.545455,0.073645,0.009688,0.100000,REP,-3
460,615065,OH,19,0.524851,0.555556,0.054097,0.001465,0.100000,REP,-3
461,611391,CA,56,0.612569,0.618182,0.012431,0.005426,0.100000,REP,-2
462,608341,GA,14,0.482620,0.461538,0.017380,0.054048,0.100000,REP,-2
463,606963,IL,21,0.607064,0.600000,0.011984,0.035635,0.100000,REP,-1
464,605980,MA,11,0.710842,1.000000,0.289158,0.198249,0.100000,REP,0
