XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.365118,1,0.222261,686140.285714,9,3,0.031784,533664.666667
AK,1,0.445620,0,0.445620,721523.000000,1,0,0.445620,721523.000000
AZ,9,0.446445,4,0.002001,712522.222222,12,7,0.136888,534391.666667
AR,4,0.385534,0,0.385534,731557.250000,6,1,0.218868,487704.833333
CA,53,0.564408,39,0.171441,704565.830189,72,44,0.046703,518638.736111
CO,7,0.483533,3,0.054962,720704.285714,10,5,0.016467,504493.000000
CT,5,0.592890,5,0.407110,716325.600000,7,6,0.264253,511661.142857
DE,1,0.617144,1,0.382856,900877.000000,2,2,0.382856,450438.500000
FL,27,0.443091,10,0.072721,700028.629630,37,17,0.016368,510831.702703
GA,14,0.434272,4,0.148557,694826.142857,19,8,0.013219,511977.157895
HI,2,0.662196,2,0.337804,683431.000000,3,2,0.004471,455620.666667
ID,2,0.367869,0,0.367869,786749.500000,3,1,0.034535,524499.666667
IL,18,0.514235,10,0.041321,714687.777778,25,14,0.045765,514575.200000
IN,9,0.388967,2,0.166745,722398.000000,13,4,0.081274,500121.692308
IA,4,0.460782,1,0.210782,763446.750000,6,3,0.039218,508964.500000
KS,4,0.365523,0,0.365523,715953.250000,6,2,0.032190,477302.166667
KY,6,0.364186,1,0.197519,725101.000000,8,2,0.114186,543825.750000
LA,6,0.348676,1,0.182010,758993.666667,9,3,0.015343,505995.777778
ME,2,0.572351,1,0.072351,666537.000000,3,1,0.239017,444358.000000
MD,8,0.581379,7,0.293621,723741.125000,11,7,0.054985,526357.181818
MA,9,0.662413,9,0.337587,728849.333333,13,10,0.106818,504588.000000
MI,14,0.508755,5,0.151612,707973.285714,19,9,0.035071,521664.526316
MN,8,0.519013,5,0.105987,664359.875000,10,5,0.019013,531487.900000
MS,4,0.389664,1,0.139664,744560.000000,6,3,0.110336,496373.333333
MO,8,0.379915,2,0.129915,751434.750000,12,5,0.036752,500956.500000
MT,1,0.421743,0,0.421743,994416.000000,2,1,0.078257,497208.000000
NE,3,0.352122,1,0.018789,610608.333333,4,1,0.102122,457956.250000
NV,4,0.408087,1,0.158087,677358.000000,5,2,0.008087,541886.400000
NH,2,0.515724,1,0.015724,660722.500000,3,1,0.182390,440481.666667
NJ,12,0.510301,6,0.010301,733958.416667,17,11,0.136758,518088.294118
NM,3,0.529975,2,0.136692,689091.000000,4,2,0.029975,516818.250000
NY,27,0.575192,18,0.091474,719298.333333,38,22,0.003755,511080.394737
NC,13,0.456030,3,0.225261,735829.307692,18,6,0.122697,531432.277778
ND,1,0.409269,0,0.409269,675905.000000,1,0,0.409269,675905.000000
OH,16,0.412085,4,0.162085,723030.937500,22,9,0.002994,525840.681818
OK,5,0.280543,0,0.280543,752976.400000,7,2,0.005172,537840.285714
OR,5,0.571720,4,0.228280,769721.200000,7,4,0.000292,549800.857143
PA,18,0.444977,5,0.167199,707494.722222,25,9,0.084977,509396.200000
RI,2,0.611023,2,0.388977,527623.500000,2,2,0.388977,527623.500000
SC,7,0.396013,1,0.253156,663710.714286,9,3,0.062679,516219.444444
SD,1,0.334704,0,0.334704,819761.000000,2,1,0.165296,409880.500000
TN,9,0.369722,2,0.147500,708381.222222,12,3,0.119722,531285.916667
TX,36,0.405278,11,0.099722,701900.500000,49,18,0.037931,515682.000000
UT,4,0.343279,0,0.343279,692691.250000,5,1,0.143279,554153.000000
VT,1,0.674846,1,0.325154,630337.000000,1,1,0.325154,630337.000000
VA,11,0.452277,3,0.179549,730703.272727,16,7,0.014777,502358.500000
WA,10,0.531381,6,0.068619,675336.900000,13,7,0.007081,519489.923077
WV,3,0.429064,0,0.429064,619938.333333,4,1,0.179064,464953.750000
WI,8,0.472012,3,0.097012,712278.750000,11,6,0.073442,518020.909091
WY,1,0.250615,0,0.250615,568300.000000,1,0,0.250615,568300.000000
