XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.320694,1,0.177836,718579.000000,10,3,0.020694,503005.300000
AK,1,0.549637,1,0.450363,736081.000000,2,1,0.049637,368040.500000
AZ,9,0.434037,3,0.100704,795435.888889,14,6,0.005465,511351.642857
AR,4,0.312463,0,0.312463,753439.000000,6,2,0.020871,502292.666667
CA,52,0.607018,40,0.162213,761091.480769,77,47,0.003372,513983.857143
CO,8,0.565069,5,0.059931,722771.375000,11,6,0.019615,525651.909091
CT,5,0.578193,5,0.421807,721659.600000,7,4,0.006765,515471.142857
DE,1,0.563507,1,0.436493,990837.000000,2,1,0.063507,495418.500000
FL,28,0.413812,8,0.128097,770375.964286,42,17,0.009050,513583.976190
GA,14,0.476940,5,0.119798,766091.000000,21,10,0.000750,510727.333333
HI,2,0.686674,2,0.313326,730068.500000,3,2,0.020007,486712.333333
ID,2,0.314041,0,0.314041,920688.500000,4,1,0.064041,460344.250000
IL,17,0.552486,14,0.271043,754278.764706,25,14,0.007514,512909.560000
IN,9,0.392557,2,0.170335,754475.555556,13,5,0.007942,522329.230769
IA,4,0.437144,0,0.437144,798101.500000,6,3,0.062856,532067.666667
KS,4,0.427507,1,0.177507,735216.250000,6,3,0.072493,490144.166667
KY,6,0.339922,1,0.173255,751557.000000,9,3,0.006589,501038.000000
LA,6,0.337518,1,0.170851,776911.333333,9,3,0.004184,517940.888889
ME,2,0.582905,2,0.417095,681791.000000,3,2,0.083761,454527.333333
MD,8,0.651617,7,0.223383,773159.750000,12,8,0.015049,515439.833333
MA,9,0.673496,9,0.326504,781496.555556,14,9,0.030639,502390.642857
MI,13,0.511849,7,0.026612,775726.307692,20,10,0.011849,504222.100000
MN,8,0.510130,4,0.010130,713719.000000,11,6,0.035325,519068.363636
MS,4,0.356047,1,0.106047,740978.500000,6,2,0.022713,493985.666667
MO,8,0.393689,2,0.143689,770035.125000,12,5,0.022978,513356.750000
MT,2,0.393102,0,0.393102,542703.500000,3,1,0.059769,361802.333333
NE,3,0.362323,0,0.362323,654444.333333,4,1,0.112323,490833.250000
NV,4,0.482555,3,0.267445,777115.500000,6,3,0.017445,518077.000000
NH,2,0.549623,2,0.450377,689544.500000,3,2,0.117043,459696.333333
NJ,12,0.548510,9,0.201490,774541.083333,18,10,0.007045,516360.722222
NM,3,0.550647,3,0.449353,706740.000000,4,2,0.050647,530055.000000
NY,26,0.552072,15,0.024851,777528.884615,39,22,0.012030,518352.589744
NC,14,0.478447,7,0.021553,746710.571429,20,10,0.021553,522697.400000
ND,1,0.349176,0,0.349176,779702.000000,2,1,0.150824,389851.000000
OH,15,0.435714,5,0.102381,787256.533333,23,10,0.000932,513428.173913
OK,5,0.319416,0,0.319416,792703.200000,8,3,0.055584,495439.500000
OR,6,0.543099,4,0.123568,706916.666667,8,4,0.043099,530187.500000
PA,17,0.485059,9,0.044353,765402.588235,25,12,0.005059,520473.760000
RI,2,0.573522,2,0.426478,549081.500000,3,2,0.093145,366054.333333
SC,7,0.387561,1,0.244704,732101.714286,10,4,0.012439,512471.200000
SD,1,0.299999,0,0.299999,887770.000000,2,1,0.200001,443885.000000
TN,9,0.346098,1,0.234987,768544.111111,13,4,0.038406,532069.000000
TX,38,0.429494,13,0.087389,767981.315789,57,24,0.008441,511987.543860
UT,4,0.337687,0,0.337687,818813.000000,6,2,0.004354,545875.333333
VT,1,0.692429,1,0.307571,643503.000000,2,1,0.192429,321751.500000
VA,11,0.518167,6,0.027288,786776.545455,17,9,0.011245,509090.705882
WA,10,0.581237,8,0.218763,771594.600000,15,9,0.018763,514396.400000
WV,2,0.324242,0,0.324242,897522.500000,4,1,0.074242,448761.250000
WI,8,0.444079,2,0.194079,737184.125000,11,5,0.010467,536133.909091
WY,1,0.263296,0,0.263296,577719.000000,2,1,0.236704,288859.500000
