YEAR,STATE,XX,REP_V,DEM_V,REP_S,DEM_S,OTH_S
2008,Alabama,AL,18236189,16040569,107,75,0
2008,Alaska,AK,3410323,2138507,25,1,0
2008,Arizona,AZ,19800821,15944712,106,63,0
2008,Arkansas,AR,10618258,9911042,54,50,0
2008,California,CA,105155193,135784538,462,820,0
2008,Colorado,CO,20421279,19829011,86,77,0
2008,Connecticut,CT,14210316,17790713,44,101,0
2008,Delaware,DE,3517764,3305376,14,12,0
2008,Florida,FL,67660672,61721857,321,252,0
2008,Georgia,GA,29241628,28867430,138,166,0
2008,Hawaii,HI,2733405,6132053,2,50,0
2008,Idaho,ID,7182868,4521524,45,7,0
2008,Illinois,IL,48896535,57310260,236,296,0
2008,Indiana,IN,27236497,24091297,136,118,0
2008,Iowa,IA,15918955,14707568,82,52,0
2008,Kansas,KS,14389203,9923006,86,28,0
2008,Kentucky,KY,17741459,13797138,100,66,0
2008,Louisiana,LA,16792438,12821005,104,82,0
2008,Maine,ME,6644488,7660384,20,32,0
2008,Maryland,MD,17267029,26574902,58,150,0
2008,Massachusetts,MA,19742467,38796293,19,249,1
2008,Michigan,MI,43537022,47710963,195,228,0
2008,Minnesota,MN,25192011,29303449,83,125,0
2008,Mississippi,MS,9950363,10307015,50,69,0
2008,Missouri,MO,25945542,25731332,108,125,0
2008,Montana,MT,5262816,4506895,24,13,0
2008,Nebraska,NE,10587358,5595970,72,6,0
2008,Nevada,NV,6794943,6603976,31,33,0
2008,New Hampshire,NH,6027301,5447220,30,22,0
2008,New Jersey,NJ,31439996,35359819,140,207,0
2008,New Mexico,NM,6719573,7336471,38,35,0
2008,New York,NY,58219217,77818647,289,537,0
2008,North Carolina,NC,32851835,33372240,148,166,0
2008,North Dakota,ND,3450191,3571910,11,15,0
2008,Ohio,OH,54676368,49061824,302,198,0
2008,Oklahoma,OK,14638869,12133916,86,59,0
2008,Oregon,OR,14360925,19500577,30,96,0
2008,Pennsylvania,PA,54808786,57353807,274,272,1
2008,Rhode Island,RI,3612106,5719028,8,44,0
2008,South Carolina,SC,16054955,13935312,97,65,0
2008,South Dakota,SD,4243267,3937341,18,13,0
2008,Tennessee,TN,21690389,18638701,121,108,0
2008,Texas,TX,70007192,62268775,363,420,0
2008,Utah,UT,10183788,7055880,58,21,0
2008,Vermont,VT,2172098,2294448,9,9,8
2008,Virginia,VA,28375039,26695472,158,117,1
2008,Washington,WA,23597730,30144330,79,146,0
2008,West Virginia,WV,6358521,7964090,25,62,0
2008,Wisconsin,WI,27167669,27020264,109,114,0
2008,Wyoming,WY,3011425,1733401,23,3,0
