HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,Vf,Sf,SKEW|D,SKEW|R,THRESHOLD,PARTY,GAP,SLACK
436,709063,NC,14,0.509320,0.307692,0.152177,0.223606,0.100000,DEM,20,15
437,708459,MO,9,0.433408,0.250000,0.100075,0.211186,0.125000,DEM,19,15
438,706337,NY,28,0.685521,0.777778,0.100193,0.064479,0.100000,DEM,19,14
439,705164,NJ,13,0.556437,0.500000,0.017975,0.094898,0.100000,DEM,18,14
440,703158,MT,2,0.445126,0.000000,0.054874,0.445126,1.000000,DEM,18,13
441,702692,LA,7,0.354574,0.166667,0.068859,0.211716,0.166667,DEM,17,13
442,702656,OR,6,0.582443,0.800000,0.250891,0.084224,0.200000,DEM,17,12
443,701443,OH,17,0.479712,0.250000,0.185594,0.244418,0.100000,DEM,16,12
444,699595,VA,12,0.490396,0.272727,0.157063,0.240396,0.100000,DEM,16,11
445,698012,CA,54,0.589966,0.716981,0.132256,0.113737,0.100000,DEM,15,11
446,695626,IL,19,0.554113,0.666667,0.130097,0.077466,0.100000,DEM,15,10
447,692350,TX,37,0.423813,0.333333,0.072461,0.099488,0.100000,DEM,14,10
448,691447,MA,10,0.673499,1.000000,0.326501,0.226501,0.111111,DEM,14,9
449,688625,PA,19,0.507583,0.277778,0.191794,0.244425,0.100000,DEM,13,9
450,687414,FL,28,0.470459,0.370370,0.077602,0.113316,0.100000,DEM,13,8
451,687370,OK,6,0.323805,0.000000,0.157138,0.323805,0.200000,DEM,12,8
452,685327,IN,10,0.458063,0.222222,0.158063,0.258063,0.111111,DEM,12,7
453,685203,CA,55,0.589966,0.722222,0.137307,0.119125,0.100000,DEM,11,7
454,683967,MI,15,0.527315,0.357143,0.127315,0.193982,0.100000,DEM,11,6
455,682848,IA,5,0.515305,0.500000,0.084695,0.115305,0.250000,DEM,10,6
456,682350,MD,9,0.654604,0.875000,0.234285,0.123174,0.125000,DEM,10,5
457,681545,NY,29,0.685521,0.785714,0.107582,0.073100,0.100000,DEM,9,5
458,675958,AZ,10,0.458095,0.555556,0.141905,0.041905,0.111111,DEM,9,4
459,674157,CO,8,0.498644,0.428571,0.001356,0.123644,0.142857,DEM,8,4
460,673884,TX,38,0.423813,0.351351,0.055392,0.081707,0.100000,DEM,8,3
461,672856,CA,56,0.589966,0.727273,0.142177,0.124320,0.100000,DEM,7,3
462,672029,TN,10,0.389976,0.222222,0.089976,0.189976,0.111111,DEM,7,2
463,671543,WI,9,0.507555,0.375000,0.063111,0.174222,0.125000,DEM,6,2
464,671313,KY,7,0.399891,0.166667,0.114177,0.257034,0.166667,DEM,6,1
465,671266,GA,15,0.450309,0.357143,0.050309,0.116975,0.100000,DEM,5,1
466,665955,MS,5,0.421175,0.250000,0.021175,0.221175,0.250000,DEM,5,0
467,663287,FL,29,0.470459,0.392857,0.056666,0.091149,0.100000,DEM,4,0
468,661327,OH,18,0.479712,0.294118,0.146379,0.201934,0.100000,DEM,4,-1
469,660946,CA,57,0.589966,0.732143,0.146876,0.129332,0.100000,DEM,3,0
470,660102,NC,15,0.509320,0.357143,0.109320,0.175987,0.100000,DEM,3,0
471,659929,IL,20,0.554113,0.684211,0.145887,0.095887,0.100000,DEM,3,-1
472,658435,NY,30,0.685521,0.793103,0.114479,0.081146,0.100000,DEM,2,-1
473,656378,TX,39,0.423813,0.368421,0.039197,0.064838,0.100000,DEM,2,-2
474,654325,AR,5,0.376302,0.000000,0.176302,0.376302,0.250000,DEM,1,-2
475,653913,CT,6,0.643209,1.000000,0.356791,0.190124,0.200000,DEM,1,-3
476,653287,PA,20,0.507583,0.315789,0.157583,0.207583,0.100000,DEM,0,-3
477,652855,NJ,14,0.556437,0.538462,0.014992,0.056437,0.100000,DEM,0,-4
478,649450,CA,58,0.589966,0.736842,0.151413,0.134172,0.100000,DEM,-1,-4
479,643908,WA,11,0.544438,0.600000,0.091925,0.001016,0.100000,REP,0,-4
480,643534,VA,13,0.490396,0.333333,0.105781,0.182704,0.100000,DEM,-1,-4
481,642378,ID,3,0.338633,0.000000,0.005300,0.338633,0.500000,REP,0,-4
482,641825,AL,8,0.386292,0.142857,0.136292,0.261292,0.142857,DEM,-1,-4
483,640796,FL,30,0.470459,0.413793,0.037126,0.070459,0.100000,REP,0,-4
484,640368,KS,5,0.338253,0.000000,0.138253,0.338253,0.250000,DEM,-1,-4
485,639793,MI,16,0.527315,0.400000,0.089815,0.152315,0.100000,REP,0,-4
