XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.458278,2,0.172564,637304.285714,8,3,0.083278,557641.250000
AK,1,0.188273,0,0.188273,628933.000000,1,0,0.188273,628933.000000
AZ,8,0.409109,2,0.159109,642585.375000,9,3,0.075776,571187.000000
AR,4,0.567575,3,0.182425,669933.250000,5,3,0.032425,535946.600000
CA,53,0.534821,33,0.087820,640203.735849,58,33,0.034144,585013.758621
CO,7,0.439091,2,0.153377,615983.142857,7,2,0.153377,615983.142857
CT,5,0.522079,2,0.122079,681907.000000,6,3,0.022079,568255.833333
DE,1,0.270420,0,0.270420,785068.000000,1,0,0.270420,785068.000000
FL,25,0.435008,7,0.155008,641155.600000,28,10,0.077865,572460.357143
GA,13,0.421841,5,0.037226,631305.769231,14,6,0.006731,586212.500000
HI,2,0.665672,2,0.334328,608321.000000,2,2,0.334328,608321.000000
ID,2,0.350007,0,0.350007,648637.000000,2,0,0.350007,648637.000000
IL,19,0.513957,9,0.040272,654686.421053,21,11,0.009853,592335.333333
IN,9,0.432447,3,0.099114,676753.555556,11,5,0.022098,553707.454545
IA,5,0.453581,1,0.253581,586384.600000,5,1,0.253581,586384.600000
KS,4,0.389043,1,0.139043,673456.000000,5,2,0.010957,538764.800000
KY,6,0.364680,2,0.031347,674905.166667,7,3,0.063891,578490.142857
LA,7,0.445546,2,0.159832,640038.714286,8,3,0.070546,560033.875000
ME,2,0.584530,2,0.415470,638865.500000,2,2,0.415470,638865.500000
MD,8,0.545662,6,0.204338,663485.750000,9,6,0.121005,589765.111111
MA,10,0.690304,10,0.309696,635556.800000,11,10,0.218787,577778.909091
MI,15,0.488654,6,0.088654,663721.933333,17,8,0.018065,585637.000000
MN,8,0.516051,4,0.016051,615708.750000,9,5,0.039504,547296.666667
MS,4,0.485842,2,0.014158,713231.750000,5,2,0.085842,570585.400000
MO,9,0.456826,4,0.012382,622917.777778,10,5,0.043174,560626.000000
MT,1,0.335780,0,0.335780,905316.000000,2,1,0.164220,452658.000000
NE,3,0.310367,0,0.310367,571789.666667,3,0,0.310367,571789.666667
NV,3,0.362427,1,0.029094,667344.000000,3,1,0.029094,667344.000000
NH,2,0.408415,0,0.408415,619207.500000,2,0,0.408415,619207.500000
NJ,13,0.510916,7,0.027546,648027.230769,15,8,0.022418,561623.600000
NM,3,0.534737,1,0.201404,607940.333333,3,1,0.201404,607940.333333
NY,29,0.541170,19,0.114003,655343.896552,33,19,0.034588,575908.272727
NC,13,0.474558,6,0.013020,620590.230769,14,7,0.025442,576262.357143
ND,1,0.524057,1,0.475943,643756.000000,1,1,0.475943,643756.000000
OH,18,0.438289,6,0.104955,631918.888889,20,8,0.038289,568727.000000
OK,5,0.454410,1,0.254410,691763.800000,6,2,0.121076,576469.833333
OR,5,0.561332,4,0.238668,685708.600000,6,4,0.105335,571423.833333
PA,19,0.458796,7,0.090375,647403.684211,21,9,0.030224,585746.190476
RI,2,0.698157,2,0.301843,524831.000000,2,2,0.301843,524831.000000
SC,6,0.426602,2,0.093269,670843.500000,7,3,0.001969,575008.714286
SD,1,0.460321,0,0.460321,756874.000000,1,0,0.460321,756874.000000
TN,9,0.482193,5,0.073362,633337.444444,10,5,0.017807,570003.700000
TX,32,0.470332,17,0.060918,653249.812500,36,17,0.001890,580666.500000
UT,3,0.407446,1,0.074113,745571.333333,4,2,0.092554,559178.500000
VT,1,0.000000,0,0.000000,609890.000000,1,0,0.000000,609890.000000
VA,11,0.404260,3,0.131533,645518.363636,12,4,0.070927,591725.166667
WA,9,0.538105,6,0.128562,656520.444444,10,6,0.061895,590868.400000
WV,3,0.590650,2,0.076016,604359.000000,3,2,0.076016,604359.000000
WI,8,0.474917,4,0.025083,671401.250000,9,4,0.030472,596801.111111
WY,1,0.374374,0,0.374374,495304.000000,1,0,0.374374,495304.000000
