HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT,Vf,Sf,SKEW|D,SKEW|R,THRESHOLD,PARTY,GAP,SLACK
436,709063,NC,14,0.509320,0.307692,0.152177,0.223606,0.100000,DEM,20,15
437,708459,MO,9,0.433408,0.250000,0.100075,0.211186,0.125000,DEM,19,15
438,706337,NY,28,0.685521,0.777778,0.100193,0.064479,0.100000,REP,20,15
439,705164,NJ,13,0.556437,0.500000,0.017975,0.094898,0.100000,DEM,19,15
440,703158,MT,2,0.445126,0.000000,0.054874,0.445126,1.000000,DEM,19,14
441,702692,LA,7,0.354574,0.166667,0.068859,0.211716,0.166667,DEM,18,14
442,702656,OR,6,0.582443,0.800000,0.250891,0.084224,0.200000,REP,19,14
443,701443,OH,17,0.479712,0.250000,0.185594,0.244418,0.100000,DEM,18,14
444,699595,VA,12,0.490396,0.272727,0.157063,0.240396,0.100000,DEM,18,13
445,698012,CA,54,0.589966,0.716981,0.132256,0.113737,0.100000,REP,18,14
446,695626,IL,19,0.554113,0.666667,0.130097,0.077466,0.100000,REP,19,14
447,692350,TX,37,0.423813,0.333333,0.072461,0.099488,0.100000,DEM,18,14
448,691447,MA,10,0.673499,1.000000,0.326501,0.226501,0.111111,REP,19,14
449,688625,PA,19,0.507583,0.277778,0.191794,0.244425,0.100000,DEM,18,14
450,687414,FL,28,0.470459,0.370370,0.077602,0.113316,0.100000,DEM,18,13
451,687370,OK,6,0.323805,0.000000,0.157138,0.323805,0.200000,DEM,17,13
452,685327,IN,10,0.458063,0.222222,0.158063,0.258063,0.111111,DEM,17,12
453,685203,CA,55,0.589966,0.703704,0.119125,0.100943,0.100000,REP,17,13
454,683967,MI,15,0.527315,0.357143,0.127315,0.193982,0.100000,DEM,17,12
455,682848,IA,5,0.515305,0.500000,0.084695,0.115305,0.250000,DEM,16,12
456,682350,MD,9,0.654604,0.875000,0.234285,0.123174,0.125000,REP,17,12
457,681545,NY,29,0.685521,0.750000,0.073100,0.038617,0.100000,DEM,16,12
458,675958,AZ,10,0.458095,0.555556,0.141905,0.041905,0.111111,REP,17,12
459,674157,CO,8,0.498644,0.428571,0.001356,0.123644,0.142857,DEM,16,12
460,673884,TX,38,0.423813,0.351351,0.055392,0.081707,0.100000,DEM,16,11
461,672856,CA,56,0.589966,0.690909,0.106462,0.088605,0.100000,REP,16,12
462,672029,TN,10,0.389976,0.222222,0.089976,0.189976,0.111111,DEM,16,11
463,671543,WI,9,0.507555,0.375000,0.063111,0.174222,0.125000,DEM,15,11
464,671313,KY,7,0.399891,0.166667,0.114177,0.257034,0.166667,DEM,15,10
465,671266,GA,15,0.450309,0.357143,0.050309,0.116975,0.100000,DEM,14,10
466,665955,MS,5,0.421175,0.250000,0.021175,0.221175,0.250000,DEM,14,9
467,663287,FL,29,0.470459,0.392857,0.056666,0.091149,0.100000,DEM,13,9
468,661327,OH,18,0.479712,0.294118,0.146379,0.201934,0.100000,DEM,13,8
469,660946,CA,57,0.589966,0.678571,0.094244,0.076700,0.100000,DEM,12,8
470,660102,NC,15,0.509320,0.357143,0.109320,0.175987,0.100000,DEM,12,7
471,659929,IL,20,0.554113,0.631579,0.095887,0.045887,0.100000,DEM,12,7
472,658435,NY,30,0.685521,0.758621,0.081146,0.047812,0.100000,DEM,11,6
473,656378,TX,39,0.423813,0.368421,0.039197,0.064838,0.100000,DEM,11,6
474,654325,AR,5,0.376302,0.000000,0.176302,0.376302,0.250000,DEM,10,5
475,653913,CT,6,0.643209,1.000000,0.356791,0.190124,0.200000,REP,11,6
476,653287,PA,20,0.507583,0.315789,0.157583,0.207583,0.100000,DEM,10,5
477,652855,NJ,14,0.556437,0.538462,0.014992,0.056437,0.100000,DEM,10,5
478,649450,CA,58,0.589966,0.684211,0.099689,0.082448,0.100000,DEM,9,4
479,643908,WA,11,0.544438,0.600000,0.091925,0.001016,0.100000,DEM,9,4
480,643534,VA,13,0.490396,0.333333,0.105781,0.182704,0.100000,DEM,8,3
481,642378,ID,3,0.338633,0.000000,0.005300,0.338633,0.500000,DEM,8,3
482,641825,AL,8,0.386292,0.142857,0.136292,0.261292,0.142857,DEM,7,2
483,640796,FL,30,0.470459,0.413793,0.037126,0.070459,0.100000,DEM,7,2
484,640368,KS,5,0.338253,0.000000,0.138253,0.338253,0.250000,DEM,6,1
485,639793,MI,16,0.527315,0.400000,0.089815,0.152315,0.100000,DEM,6,1
486,639758,TX,40,0.423813,0.384615,0.023813,0.048813,0.100000,DEM,5,0
487,638348,CA,59,0.589966,0.689655,0.104949,0.088000,0.100000,REP,6,1
488,637016,DE,2,0.658255,1.000000,0.341745,0.158255,1.000000,DEM,5,0
489,636841,NY,31,0.685521,0.766667,0.088673,0.056414,0.100000,DEM,5,0
490,633665,MO,10,0.433408,0.333333,0.033408,0.133408,0.111111,DEM,4,-1
491,627912,GA,16,0.450309,0.400000,0.012809,0.075309,0.100000,DEM,4,0
492,627717,IL,21,0.554113,0.650000,0.112554,0.064935,0.100000,REP,4,-1
493,627619,CA,60,0.589966,0.677966,0.093367,0.076700,0.100000,DEM,4,0
494,626364,MN,9,0.563249,0.625000,0.103418,0.007693,0.125000,DEM,3,0
495,625553,OH,19,0.479712,0.333333,0.111291,0.163922,0.100000,DEM,3,-1
496,625438,MA,11,0.673499,0.900000,0.235592,0.144683,0.100000,REP,3,0
497,623959,TX,41,0.423813,0.400000,0.009179,0.033569,0.100000,DEM,3,-1
498,621400,PA,21,0.507583,0.350000,0.126631,0.174250,0.100000,DEM,2,-1
499,620845,SC,8,0.416161,0.142857,0.166161,0.291161,0.142857,DEM,2,-2
500,619902,IN,11,0.458063,0.300000,0.094427,0.185336,0.100000,DEM,1,-2
501,619781,FL,31,0.470459,0.433333,0.018846,0.051104,0.100000,DEM,1,-3
502,619562,UT,5,0.333589,0.250000,0.066411,0.133589,0.250000,DEM,0,-3
