XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.432230,2,0.146516,637304.285714,7,2,0.146516,637304.285714
AK,1,0.239302,0,0.239302,628933.000000,1,0,0.239302,628933.000000
AZ,8,0.403278,2,0.153278,642585.375000,8,2,0.153278,642585.375000
AR,4,0.583036,3,0.166964,669933.250000,4,3,0.166964,669933.250000
CA,53,0.552631,33,0.070011,640203.735849,55,35,0.083733,616923.600000
CO,7,0.500868,3,0.072296,615983.142857,7,3,0.072296,615983.142857
CT,5,0.555031,2,0.155031,681907.000000,6,3,0.055031,568255.833333
DE,1,0.300591,0,0.300591,785068.000000,1,0,0.300591,785068.000000
FL,25,0.426733,7,0.146733,641155.600000,26,8,0.119041,616495.769231
GA,13,0.437756,6,0.023783,631305.769231,13,6,0.023783,631305.769231
HI,2,0.638232,2,0.361768,608321.000000,2,2,0.361768,608321.000000
ID,2,0.298833,0,0.298833,648637.000000,2,0,0.298833,648637.000000
IL,19,0.531241,10,0.004925,654686.421053,20,11,0.018759,621952.100000
IN,9,0.419645,2,0.197422,676753.555556,10,3,0.119645,609078.200000
IA,5,0.431584,1,0.231584,586384.600000,5,1,0.231584,586384.600000
KS,4,0.403561,1,0.153561,673456.000000,4,1,0.153561,673456.000000
KY,6,0.397795,1,0.231128,674905.166667,7,2,0.112081,578490.142857
LA,7,0.368509,2,0.082795,640038.714286,7,2,0.082795,640038.714286
ME,2,0.596331,2,0.403669,638865.500000,2,2,0.403669,638865.500000
MD,8,0.593918,6,0.156082,663485.750000,9,7,0.183860,589765.111111
MA,10,0.699403,10,0.300597,635556.800000,10,10,0.300597,635556.800000
MI,15,0.494906,6,0.094906,663721.933333,16,7,0.057406,622239.312500
MN,8,0.531022,4,0.031022,615708.750000,8,4,0.031022,615708.750000
MS,4,0.445563,2,0.054437,713231.750000,5,3,0.154437,570585.400000
MO,9,0.454795,4,0.010351,622917.777778,9,4,0.010351,622917.777778
MT,1,0.337299,0,0.337299,905316.000000,2,1,0.162701,452658.000000
NE,3,0.309323,0,0.309323,571789.666667,3,0,0.309323,571789.666667
NV,3,0.442489,1,0.109155,667344.000000,3,1,0.109155,667344.000000
NH,2,0.380758,0,0.380758,619207.500000,2,0,0.380758,619207.500000
NJ,13,0.523204,6,0.061666,648027.230769,14,7,0.023204,601739.571429
NM,3,0.518241,1,0.184907,607940.333333,3,1,0.184907,607940.333333
NY,29,0.608812,20,0.080844,655343.896552,31,22,0.100866,613063.645161
NC,13,0.489266,6,0.027728,620590.230769,13,6,0.027728,620590.230769
ND,1,0.595630,1,0.404370,643756.000000,1,1,0.404370,643756.000000
OH,18,0.469497,6,0.136164,631918.888889,18,6,0.136164,631918.888889
OK,5,0.392973,1,0.192973,691763.800000,6,2,0.059640,576469.833333
OR,5,0.555492,4,0.244508,685708.600000,6,5,0.277841,571423.833333
PA,19,0.493302,7,0.124881,647403.684211,20,8,0.093302,615033.500000
RI,2,0.712042,2,0.287958,524831.000000,2,2,0.287958,524831.000000
SC,6,0.415173,2,0.081839,670843.500000,7,3,0.013399,575008.714286
SD,1,0.537519,1,0.462481,756874.000000,1,1,0.462481,756874.000000
TN,9,0.493618,5,0.061938,633337.444444,9,5,0.061938,633337.444444
TX,32,0.427344,11,0.083594,653249.812500,34,13,0.044991,614823.352941
UT,3,0.409995,1,0.076661,745571.333333,4,2,0.090005,559178.500000
VT,1,0.225981,0,0.225981,609890.000000,1,0,0.225981,609890.000000
VA,11,0.418331,3,0.145603,645518.363636,12,4,0.084997,591725.166667
WA,9,0.594899,6,0.071768,656520.444444,10,7,0.105101,590868.400000
WV,3,0.578193,2,0.088473,604359.000000,3,2,0.088473,604359.000000
WI,8,0.481112,4,0.018888,671401.250000,9,5,0.074444,596801.111111
WY,1,0.430809,0,0.430809,495304.000000,1,0,0.430809,495304.000000
